手法,クラスター数,AUC,パラメータ1,パラメータ2
,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100",auc,"-5.0, -5.5, -6.0, -6.5, -7.0, -7.5, -8.0, -8.5, -9.0, -9.5, -10.0",無し
HCCMM-CF,82,0.7421028805900725,1.0,0.0
HCCMM-CF,83,0.7490734434181674,1.0,0.0
HCCMM-CF,84,0.7505930626619708,1.0,0.0
HCCMM-CF,85,0.7575054820918333,1.0,0.0
HCCMM-CF,86,0.7383306199747492,1.0,0.0
HCCMM-CF,87,0.7589889693667353,1.0,0.0
HCCMM-CF,88,0.7506129975413648,1.0,0.0
HCCMM-CF,89,0.7489006744634195,1.0,0.0
HCCMM-CF,90,0.7431399096285467,1.0,0.0
HCCMM-CF,91,0.747332463951093,1.0,0.0
HCCMM-CF,92,0.7378476144594326,1.0,0.0
HCCMM-CF,93,0.7357839391321683,1.0,0.0
HCCMM-CF,94,0.7401737656987175,1.0,0.0
HCCMM-CF,95,0.7501233470662502,1.0,0.0
HCCMM-CF,96,0.7424048109508937,1.0,0.0
HCCMM-CF,97,0.7478707056947307,1.0,0.0
HCCMM-CF,98,0.7422802179546814,1.0,0.0
HCCMM-CF,99,0.7507413283274637,1.0,0.0
HCCMM-CF,100,0.7408312014087315,1.0,0.0
